OBJECTID,Join_Count,TARGET_FID,Property_I,Funding_So,Additional,Property,Address,City,Owner_Org_,Management,County,Zip,Total_Unit,S8_Asst_Un,Program_Ty,Overall_Ex,Financing,Loan_Mat_,Owner_Type,T2T6,S8_Risk_Le,Combined_R,TCAC_Risk_,TCAC_Years,expiration,TCAC_Appli,TCAC_,TCAC_Total,TCAC_Housi,TCAC_Const,TCAC_App_1,TCAC_Year_,TCAC_PIS_D,NEW_TCAC_A,USDA_W__Re,USDA_W__Se,USDA_Opera,USDA_Date_,USDA_W__Ta,Total_USDA,Mortgage_r,Original_C,Total_Affo,Property_S,Expiring_w,Original_1,TCAC_Risk1,Org_type,Latitude,Longitude,GEOID10
1,1,1,1001.000000000000000,HUD,no,104 Cedar St-Redwd Cty,"104 Cedar St                                 
",Redwood City,"Cedar Street Apartments, Inc.", ,San Mateo,94063,15.000000000000000,14.000000000000000,PRAC/811,4/30/2015 0:00:00,811,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,15.000000000000000,1.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.479742000000002,-122.224945000000010,06081610203
2,1,2,1002.000000000000000,HUD,no,BAYVIEW SENIOR HOUSING,"5545 THIRD STREET                            
",SAN FRANCISCO,"BAYVIEW SENIOR HOUSING, INC.", ,San Francisco,94124,54.000000000000000,53.000000000000000,PRAC/202,5/31/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,54.000000000000000,2.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.727358000000002,-122.393311999999990,06075023400
3,1,3,1003.000000000000000,HUD,no,Estabrook Senior Housing,"2121 E 14th Street                           
",San Leandro,"Estabrook Senior Housing, L.P.", ,Alameda,94544,50.000000000000000,50.000000000000000,PRAC/202,5/31/2013 0:00:00,202,,Profit Motivated, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,50.000000000000000,2.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.718912000000003,-122.147696000000000,06001433104
4,1,4,1004.000000000000000,HUD,no,REDWOOD SHORES,"400 REDWOOD STREET                           
",VALLEJO,"Redwood Shores Senior Housing, Inc", ,Solano,94590,120.000000000000000,119.000000000000000,PRAC/202,12/31/2016 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,120.000000000000000,3.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,38.122135000000000,-122.262140000000000,06095251802
5,1,5,1005.000000000000000,HUD,no,ABC Apartments,"462 Corte Arango                             
",El Sobrante,"A Better Chance Apartments, Inc.","A Better Chance Apartments, Inc.",Contra Costa,94803,9.000000000000000,8.000000000000000,PRAC/811,6/30/2013 0:00:00,811,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,9.000000000000000,1.000000000000000,1.000000000000000,1, ,Small Nonprofit,37.974643999999998,-122.301633000000000,06013363000
6,1,6,1006.000000000000000,HUD,no,AARON HOUSE,"735 BONNIE AVE                               
",ROHNERT PARK,"Aaron House, Inc.","Aaron House, Inc.",Sonoma,94928,6.000000000000000,6.000000000000000,202/162 NC,2/17/2013 0:00:00,202,3/1/2032 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk- possible restrictions,4,6.000000000000000,1.000000000000000,1.000000000000000,4, ,Small Nonprofit,38.334775000000000,-122.694703000000000,06097151301
7,1,7,1007.000000000000000,HUD,no,JONES MEMORIAL HOMES I,"1640 STEINER ST                              
",SAN FRANCISCO,"JONES MEMORIAL HOMES, INC.",Alton Management Corporation,San Francisco,94115,32.000000000000000,32.000000000000000,LMSA,6/30/2031 0:00:00,202,1/1/2014 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,1,32.000000000000000,1.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.784560999999997,-122.434621000000010,06075015500
8,1,8,1008.000000000000000,HUD,no,PRINCE HALL APARTMENTS,"1170 McAllister St                           
",San Francisco,"Prince Hall of Bethel AME Church, Inc.",Alton Management Corporation,San Francisco,94115,92.000000000000000,92.000000000000000,LMSA,7/31/2031 0:00:00, ,,Non-Profit,T6,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- T6,1,92.000000000000000,2.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.778697999999999,-122.431327000000000,06075016100
9,1,9,1009.000000000000000,HUD,no,JONES MEMORIAL HOMES II,"1950 POST ST                                 
",SAN FRANCISCO,"JONES MEMORIAL HOMES, INC.",Alton Management Corporation,San Francisco,94115,103.000000000000000,101.000000000000000,LMSA,6/30/2031 0:00:00,236(j)(1),1/1/2015 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,1,103.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.785080000000001,-122.433803999999990,06075015500
10,1,10,1010.000000000000000,HUD,no,FELLOWSHIP MANOR,"1201 GOLDEN GATE AVE                         
",SAN FRANCISCO,FELLOWSHIP MANOR OF BETHEL A.M.E. CHURCH,Alton Management Corporation,San Francisco,94115,106.000000000000000,105.000000000000000,202/8 NC,7/31/2029 0:00:00, ,,Profit Motivated, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,106.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.779730000000001,-122.430468000000000,06075016100
11,1,11,1011.000000000000000,HUD,no,NORTHRIDGE COOP HOMES,"1 Ardath CT                                  
",SAN FRANCISCO,"NORTHRIDGE COOPERATIVE HOMES, INC.",Alton Management Corporation,San Francisco,94124,300.000000000000000,300.000000000000000,Sec 8 NC,3/31/2029 0:00:00,221(d)(4)MKT,4/1/2049 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,1,300.000000000000000,3.000000000000000,0.000000000000000,1, ,Small Nonprofit,37.734096000000001,-122.382005000000010,06075023103
12,1,12,1012.000000000000000,HUD,no,HILLCREST GARDENS,"35 Hillcrest Dr                              
",Daly City,HILLCREST SENIOR HOUSING CORP,American Baptist Homes of the West,San Mateo,94014,39.000000000000000,39.000000000000000,PRAC/202,7/31/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,39.000000000000000,1.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.706052000000000,-122.462715000000000,06081600700
13,1,13,1013.000000000000000,HUD,no,HILLCREST GARDENS,"550 HILLCREST AVE                            
",LIVERMORE,"INTERFAITH HOUSING, INC.",American Baptist Homes of the West,Alameda,94550,55.000000000000000,43.000000000000000,LMSA,12/31/2028 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,55.000000000000000,2.000000000000000,0.000000000000000,1, ,Large/Medium Nonprofit,37.682020999999999,-121.748319000000000,06001451503
14,1,14,1014.000000000000000,HUD,no,VINEYARD VILLAGE,"3700 PACIFIC AVE                             
",LIVERMORE,VINEYARD VILLAGE INC,American Baptist Homes of the West,Alameda,94550,75.000000000000000,74.000000000000000,202/8 NC,3/31/2022 0:00:00,202,12/1/2022 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,2,75.000000000000000,2.000000000000000,0.000000000000000,2, ,Large/Medium Nonprofit,37.676133000000000,-121.753649999999990,06001451501
15,1,15,1015.000000000000000,HUD,no,ARBOR VISTA,"1300 S. LIVERMORE AVENUE                     
",LIVERMORE,"ARBOR VISTA, INC.",American Baptist Homes of the West,Alameda,94550,80.000000000000000,79.000000000000000,PRAC/202,10/31/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,80.000000000000000,2.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.672992999999998,-121.754294000000000,06001451501
16,1,16,1016.000000000000000,HUD,no,ALLEN TEMPLE ARMS IV,"7607 INTERNATIONAL BOULEVARD                 
",OAKLAND,Allen Temple Housing Corp IV,American Baptist Homes of the West,Alameda,94621,24.000000000000000,24.000000000000000,PRAC/811,7/31/2021 0:00:00,811,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,24.000000000000000,1.000000000000000,0.000000000000000,1, ,Large/Medium Nonprofit,37.758065999999999,-122.184741000000000,06001408900
17,1,17,1017.000000000000000,HUD,no,ALLEN TEMPLE ARMS III,"10121 E 14TH ST                              
",OAKLAND,Allen Temple Housing Corp IIII,American Baptist Homes of the West,Alameda,94603,49.000000000000000,49.000000000000000,PRAC/202,10/31/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,49.000000000000000,1.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.741844999999998,-122.168629999999990,06001409300
18,1,18,1018.000000000000000,HUD,no,ALLEN TEMPLE ARMS II,"1388 81ST AVE                                
",OAKLAND,ALLEN TEMPLE DEVELOPMENT CORPORATION NO.2,American Baptist Homes of the West,Alameda,94621,51.000000000000000,51.000000000000000,202/8 NC,4/30/2017 0:00:00,202,9/1/2027 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk- possible restrictions,3,51.000000000000000,2.000000000000000,1.000000000000000,3, ,Large/Medium Nonprofit,37.755820999999997,-122.181079000000000,06001408900
19,1,19,1019.000000000000000,HUD,no,E. E. CLEVELAND MANOR,"2611 ALVINGROOM CT                           
",OAKLAND,HOPE SENIOR HOUSING CORPORATION,American Baptist Homes of the West,Alameda,94605,54.000000000000000,53.000000000000000,202/8 NC,10/31/2015 0:00:00,207/223(f),3/1/2045 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,no affordability req,3,54.000000000000000,2.000000000000000,1.000000000000000,3, ,Large/Medium Nonprofit,37.761384000000000,-122.163031000000000,06001409800
20,1,20,1020.000000000000000,HUD,no,ALLEN TEMPLE,"8135 INTERNATIONAL BLVD                      
",OAKLAND,Allen Temple Development Corporation,American Baptist Homes of the West,Alameda,94621,76.000000000000000,75.000000000000000,HFDA/8 NC,5/31/2013 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,4,76.000000000000000,2.000000000000000,1.000000000000000,4, ,Large/Medium Nonprofit,37.755892000000003,-122.180238000000000,06001408900
21,1,21,1021.000000000000000,HUD,no,PLEASANTON GARDENS,"251 KOTTINGER DR                             
",PLEASANTON,"PLEASANTON GARDENS, INC.",American Baptist Homes of the West,Alameda,94566,40.000000000000000,31.000000000000000,LMSA,8/31/2014 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,3,40.000000000000000,1.000000000000000,1.000000000000000,3, ,Large/Medium Nonprofit,37.661512999999999,-121.869415000000000,06001450741
22,1,22,1022.000000000000000,HUD,no,San Leandro Sr Project,"232 East 14th Street                         
",SAN LEANDRO,San Leandro Senior Housing Inc.,American Baptist Homes of the West,Alameda,94577,60.000000000000000,60.000000000000000,PRAC/202,2/28/2013 0:00:00,202,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,low risk- PRAC,1,60.000000000000000,2.000000000000000,1.000000000000000,1, ,Large/Medium Nonprofit,37.734617000000000,-122.163234000000000,06001432300
23,1,23,1023.000000000000000,HUD,no,CENTER INTERFAITH HOUSING,"164 N SAN PEDRO RD                           
",SAN RAFAEL,CENTER INTERFAITH HSG-PARNOW FRIENDSHIP HOUSE,American Baptist Homes of the West,Marin,94903,72.000000000000000,72.000000000000000,202/8 NC,7/31/2024 0:00:00, ,,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , , ,1,72.000000000000000,2.000000000000000,0.000000000000000,1, ,Large/Medium Nonprofit,37.999682999999997,-122.524666999999990,06041106002
24,1,24,1024.000000000000000,HUD,no,ASCENSION ARMS,"301 BUTTE ST                                 
",VALLEJO,ASCENSION SERVICES INC.,ASCENSION SERVICES INC.,Solano,94590,75.000000000000000,42.000000000000000,LMSA,7/31/2029 0:00:00,202,3/1/2015 0:00:00,Non-Profit, ,2-Low,2-Low, , , , , , , , , , , , , , , , , , ,prepayment risk,1,75.000000000000000,2.000000000000000,0.000000000000000,1, ,Small Nonprofit,38.104239000000000,-122.263208000000010,06095250900
