description,filename,date,contact,map_link,source_link,metadata_link
n/a,HCD_Awards_non-SR.shp,,mike,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/HCD_Awards_non-SR.geojson,,
n/a,HCD_Awards_SR.shp,,mike,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/HCD_Awards_SR.geojson,,
properties with funding from state affordable housing programs that the CalHFA administers,20150107 CHPC LA County and Bay Area CalHFA Properties.xlsx,1/7/15,pedro,,,
deduplicated version of above?,20150107 CHPC LA County and Bay Area CalHFA Properties_clean.xlsx,1/7/15,pedro,,,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/HCD_Awards_SR.geojson
properties funded by HCD's programs,20150107 CHPC LA County and Bay Area HCD Properties.xlsx,1/7/15,pedro,,,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/HCD_Awards_non-SR.geojson
n/a,AffordableHousing_SpatialJoi.csv,,pedro,,,
combination of CHPC and CHTAC?,TCAC_CHPC_AffordableHousingData_Full010215.xlsx,,pedro,,,http://www.treasurer.ca.gov/ctcac/
metadata for CalHFA/HCD data,notes_for_two_xls_files.txt,,pedro,,,
modified TCAC_CHPC_AffordableHousingData_Full010215.xlsx,DeedRestrictedHousingProjects,,bobby,,,
n/a,Housing.Marisa.shp,,marisa,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/Housing.Marisa.geojson,,
HUD Low Income Housing & Tax Credit,HUD_LIHTCProjects.zip,,source,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/HUD_LIHTCProjects_MTC.geojson,https://s3-us-west-2.amazonaws.com/deed-restricted-housing/HUD_LIHTCProjects.zip,http://portal.hud.gov/hudportal/HUD?src=/program_offices/fair_housing_equal_opp/lihtcmou
National Housing Preservation Database,NHPD_Extract_03_14_2012_MTC_Edits.xls,,source,https://s3-us-west-2.amazonaws.com/deed-restricted-housing/NHPD_Extract_03_14_2012.xls.zip,https://s3-us-west-2.amazonaws.com/deed-restricted-housing/NHPD_Extract_03_14_2012.xls.zip,http://www.preservationdatabase.org/
n/a,PublicHousing.zip,,mike,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/PublicHousing_bay_area.geojson,https://s3-us-west-2.amazonaws.com/deed-restricted-housing/PublicHousing.zip,
american housing survey,,,cynthia,,http://www.census.gov/programs-surveys/ahs/,
in zip with TCAC_CHPC_AffordableHousingData_Full010215,AffHousing_Lessthan100DU.shp,,,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/AffHousing_Lessthan100DU.geojson,,
in zip with TCAC_CHPC_AffordableHousingData_Full010215,AffHousing_Morethan100DU.shp,,,https://github.com/MetropolitanTransportationCommission/housing/blob/master/data/geojson/AffHousing_Morethan100DU.geojson,,
